"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6827","Получение списка заказов. Можно выбрать номер отображаемой страницы [2] 1","","2025-09-23","passed","2025-09-23","","ru.praktikum_services.qa_scooter.OrderListTests","ru.praktikum_services.qa_scooter.OrderListTests","changePageOrderListTest"
"","6334","Получение списка заказов. Можно задать количество заказов, отображаемых на странице [4] 30","","2025-09-23","passed","2025-09-23","","ru.praktikum_services.qa_scooter.OrderListTests","ru.praktikum_services.qa_scooter.OrderListTests","limitOrderListTest"
"","5331","Получение списка заказов. Можно выбрать номер отображаемой страницы [3] 0","","2025-09-23","passed","2025-09-23","","ru.praktikum_services.qa_scooter.OrderListTests","ru.praktikum_services.qa_scooter.OrderListTests","changePageOrderListTest"
"","11416","Получение списка заказов. Можно получить список всех заказов в системе","","2025-09-23","passed","2025-09-23","","ru.praktikum_services.qa_scooter.OrderListTests","ru.praktikum_services.qa_scooter.OrderListTests","getFullOrderListTest"
"","7053","Получение списка заказов. Можно выбрать номер отображаемой страницы [1] 2","","2025-09-23","passed","2025-09-23","","ru.praktikum_services.qa_scooter.OrderListTests","ru.praktikum_services.qa_scooter.OrderListTests","changePageOrderListTest"
"","5052","Удаление курьера. Нельзя удалить уже удаленного курьера","","2025-09-23","failed","2025-09-23","","ru.praktikum_services.qa_scooter.CourierDeleteTests","ru.praktikum_services.qa_scooter.CourierDeleteTests","deleteCourierWithNonexistentIdTest"
"","6788","Получение списка заказов. Можно задать количество заказов, отображаемых на странице [6] 100","","2025-09-23","failed","2025-09-23","","ru.praktikum_services.qa_scooter.OrderListTests","ru.praktikum_services.qa_scooter.OrderListTests","limitOrderListTest"
"","5114","Получение списка заказов. Можно задать количество заказов, отображаемых на странице [1] 2","","2025-09-23","passed","2025-09-23","","ru.praktikum_services.qa_scooter.OrderListTests","ru.praktikum_services.qa_scooter.OrderListTests","limitOrderListTest"
"","672","Удаление курьера. Можно удалить курьера по его идентификатору","","2025-09-23","passed","2025-09-23","","ru.praktikum_services.qa_scooter.CourierDeleteTests","ru.praktikum_services.qa_scooter.CourierDeleteTests","deleteCourierWithExistIdTest"
"","752","Создание курьера. Нельзя создать курьера с логином, который уже занят","","2025-09-23","failed","2025-09-23","","ru.praktikum_services.qa_scooter.CourierCreateTests","ru.praktikum_services.qa_scooter.CourierCreateTests","createCourierWithExistLoginTest"
